bond_sym_id,coupon_rate,issue_date,maturity_date,unsecured_indicator,junior_indicator,convertible_indicator,gvkey,industry
VMC.GS,7.0,2008-06-20,20180615,0,0,0,11228,Non-Metallic and Industrial Metal Mining
VMC.GX,6.5,2011-06-14,20161201,0,0,0,11228,Non-Metallic and Industrial Metal Mining
VMC.GY,7.5,2011-06-14,20210615,0,0,0,11228,Non-Metallic and Industrial Metal Mining
VMED.GF,6.5,2008-04-16,20161115,0,0,0,153668,Communication
VMI.GC,6.625,2010-04-12,20200420,0,0,0,11094,Construction Materials
VNO.AA,5.0,2011-12-07,20220115,0,0,0,11220,Trading
VOD.GO,5.0,2005-08-08,20150915,0,0,0,14894,Communication
VOD.GR,5.75,2006-03-16,20160315,0,0,0,14894,Communication
VOD.GV,5.625,2007-02-27,20170227,0,0,0,14894,Communication
VOD.GW,6.15,2007-02-27,20370227,0,0,0,14894,Communication
VOD.GY,4.15,2009-06-10,20140610,0,0,0,14894,Communication
VOD.GZ,5.45,2009-06-10,20190610,0,0,0,14894,Communication
VOD.HA,3.375,2009-11-24,20151124,0,0,0,14894,Communication
VOD.HB,4.375,2011-03-16,20210316,0,0,0,14894,Communication
VOLC.GA,2.875,2010-09-20,20150901,0,0,0,174118,Medical Equipment
VPHM.GA,2.0,2007-03-26,20170315,0,0,0,64004,Pharmaceutical Products
VQ.AE,11.5,2010-02-02,20171001,0,0,0,176070,Petroleum and Natural Gas
VQ.AF,8.875,2011-06-30,20190215,0,0,0,176070,Petroleum and Natural Gas
VRNM.GA,5.5,2007-03-28,20270401,0,0,0,130041,Chemicals
VRNM.GB,9.0,2009-09-01,20270401,0,0,0,130041,Chemicals
VRSK.AA,5.8,2011-04-06,20210501,0,0,0,180652,Insurance
VRSK.AB,4.875,2011-12-08,20190115,0,0,0,180652,Insurance
VRTX.GG,15.5,2008-05-30,20180615,0,0,0,24344,Pharmaceutical Products
VRX.GK,8.375,2010-04-28,20160615,0,0,0,9340,Pharmaceutical Products
VZ.RJ,5.55,2006-02-15,20160215,0,0,0,2136,Communication
VZ.RM,6.25,2007-04-03,20370401,0,0,0,2136,Communication
VZ.RN,5.5,2007-04-03,20170401,0,0,0,2136,Communication
VZ.RP,4.35,2008-02-12,20130215,0,0,0,2136,Communication
VZ.RQ,5.5,2008-02-12,20180215,0,0,0,2136,Communication
VZ.RR,6.4,2008-02-12,20380215,0,0,0,2136,Communication
VZ.RS,6.9,2008-04-04,20380415,0,0,0,2136,Communication
VZ.RT,6.1,2008-04-04,20180415,0,0,0,2136,Communication
VZ.RU,5.25,2008-04-04,20130415,0,0,0,2136,Communication
VZ.RW,8.75,2008-11-04,20181101,0,0,0,2136,Communication
VZ.RX,8.95,2008-11-04,20390301,0,0,0,2136,Communication
VZ.SE,7.35,2009-03-27,20390401,0,0,0,2136,Communication
VZ.SF,6.35,2009-03-27,20190401,0,0,0,2136,Communication
VZ.ST,3.0,2011-03-28,20160401,0,0,0,2136,Communication
VZ.SU,4.6,2011-03-28,20210401,0,0,0,2136,Communication
VZ.SV,6.0,2011-03-28,20410401,0,0,0,2136,Communication
VZ.SX,1.95,2011-03-28,20140328,0,0,0,2136,Communication
VZ.SZ,2.0,2011-11-03,20161101,0,0,0,2136,Communication
VZ.TA,4.75,2011-11-03,20411101,0,0,0,2136,Communication
VZ.TB,1.25,2011-11-03,20141103,0,0,0,2136,Communication
VZ.TC,3.5,2011-11-03,20211101,0,0,0,2136,Communication
WAG.GA,4.875,2008-07-17,20130801,0,0,0,11264,Retail
WAG.GB,5.25,2009-01-13,20190115,0,0,0,11264,Retail
WAL.GC,10.0,2010-08-25,20150901,0,0,0,163920,Banking
WBK.IB,4.2,2009-08-27,20150227,0,0,0,15362,Banking
WBK.IK,2.25,2009-11-19,20121119,0,0,0,15362,Banking
WBK.IL,4.875,2009-11-19,20191119,0,0,0,15362,Banking
WBK.JK,2.1,2010-08-03,20130802,0,0,0,15362,Banking
WBK.JL,3.0,2010-08-03,20150804,0,0,0,15362,Banking
WBK.JR,3.0,2010-12-09,20151209,0,0,0,15362,Banking
WBK.JS,1.85,2010-12-09,20131209,0,0,0,15362,Banking
WCAA.GB,9.25,2006-12-01,20140615,0,0,0,264388,Other
