bond_sym_id	coupon_rate	issue_date	maturity_date	unsecured_indicator	junior_indicator	convertible_indicator
AMP.GB	5.65	20051123	20151115	0	0	0
AMP.GE	7.3	20090608	20190628	0	0	0
AMP.GF	5.3	20100311	20200315	0	0	0
AMR.GN	10.29	20020701	20210308	1	0	0
AMR.GP	10.55	20020701	20210312	1	0	0
AMR.GR	10.375	20020701	20210315	1	0	0
AMR.GV	10.125	20020701	20210601	0	0	0
AMR.GW	10.15	20020701	20200515	0	0	0
AMR.HB	9.2	20020701	20120130	1	0	0
AMR.HF	9.14	20020701	20120221	0	0	0
AMR.UR	4.5	20040213	20240215	0	0	0
AMR.UY	6.25	20090928	20141015	0	0	0
AMT.GHB	4.5	20101207	20180115	0	0	0
AMT.GU	7	20090204	20171015	0	0	0
AMT.GW	7.25	20100607	20190515	0	0	0
AMT.GZ	4.625	20100128	20150401	0	0	0
AMT.HA	5.05	20100816	20200901	0	0	0
AMT.HB	5.9	20111006	20211101	0	0	0
AMTD.GC	4.15	20091125	20141201	0	0	0
AMTD.GD	2.95	20091125	20121201	0	0	0
AMTD.GE	5.6	20091125	20191201	0	0	0
AMX.GG	5.5	20041025	20140301	0	0	0
AMX.GH	5.75	20050114	20150115	0	0	0
AMX.GI	6.375	20050225	20350301	0	0	0
AMX.GK	6.125	20071030	20371115	0	0	0
AMX.GL	5.625	20071030	20171115	0	0	0
AMX.GP	5	20100330	20200330	0	0	0
AMX.GV	6.125	20100825	20400330	0	0	0
AMX.GW	3.625	20100825	20150330	0	0	0
AMX.GX	5	20100825	20191016	0	0	0
AMX.GY	5	20100825	20200330	0	0	0
AMX.HB	5.75	20110621	20150115	0	0	0
AMX.HC	2.375	20110908	20160908	0	0	0
AN.GC	2.34025	20061024	20130415	0	0	0
AN.GE	7	20061024	20140415	0	0	0
ANPI.GD	4.16825	20070514	20131201	0	0	0
ANR.GA	2.375	20080407	20150415	0	0	0
ANR.GB	6	20110601	20190601	0	0	0
ANR.GC	6.25	20110601	20210601	0	0	0
AOC.AA	3.125	20110527	20160527	0	0	0
AOC.GL	7.375	20030527	20121214	0	0	0
AOC.GO	5	20100910	20200930	0	0	0
AOC.GP	3.5	20100910	20150930	0	0	0
AOC.GQ	6.25	20100910	20400930	0	0	0
AOG.GB	8.125	20020701	20300915	0	0	0
AOG.GC	7.375	20020701	20311101	0	0	0
AOII.GL	10	20100719	20160715	0	0	0
AONE.AA	3.75	20110406	20160415	0	1	0
AOT.GC	2.25	20020701	20211015	0	1	1
APA.GB	7.7	20020701	20260315	0	0	0
APA.GC	7.95	20020701	20260415	0	0	0
APA.GD	7.625	20020701	20961101	0	0	0
APA.GE	7.375	20020701	20470815	0	0	0
APA.GF	7	20020701	20180201	0	0	0
APA.GG	7.625	20020701	20190701	0	0	0
APA.GM	5.625	20070126	20170115	0	0	0
APA.GN	6	20070126	20370115	0	0	0
APA.GO	5.25	20070416	20130415	0	0	0
APA.GQ	6	20081001	20130915	0	0	0
APA.GR	6.9	20081001	20180915	0	0	0
APA.GS	5.1	20100820	20400901	0	0	0
APA.GT	3.625	20101203	20210201	0	0	0
APA.GU	5.25	20101203	20420201	0	0	0
APC.GF	7.25	20020701	20961115	0	0	0
APC.GG	7	20020701	20271115	0	0	0
APC.GH	6.625	20020701	20280115	0	0	0
APC.GI	7.2	20020701	20290315	0	0	0
APC.HA	5	20020920	20121001	0	0	0
APC.HE	5.95	20060919	20160915	0	0	0
APC.HF	6.45	20060919	20360915	0	0	0
APC.HG	7.625	20090305	20140315	0	0	0
APC.HH	8.7	20090305	20190315	0	0	0
APC.HI	5.75	20090612	20140615	0	0	0
APC.HJ	6.95	20090612	20190615	0	0	0
APC.HK	7.95	20090612	20390615	0	0	0
APC.HM	6.375	20100812	20170915	0	0	0
APD.GC	8.75	20020701	20210415	0	0	0
APD.HA	4.375	20090821	20190821	0	0	0
APD.HB	2	20110802	20160802	0	0	0
APD.HC	3	20111103	20211103	0	0	0
