bond_sym_id	gvkey	industry
INTC4363556	6008	Electrical Equipment
INTC4363557	6008	Electrical Equipment
INTC4363560	6008	Electrical Equipment
INTC4495096	6008	Electrical Equipment
INTC4495097	6008	Electrical Equipment
INTC4495098	6008	Electrical Equipment
INTC4495099	6008	Electrical Equipment
INTC4495100	6008	Electrical Equipment
INTC4495101	6008	Electrical Equipment
INTC4495102	6008	Electrical Equipment
INTC4507393	6008	Electrical Equipment
INTL4029900	31521	Trading
INTP.GA	127316	NA
INTU.GA	27928	Business Services
INTU.GB	27928	Business Services
INVN.GB	62688	Medical Equipment
INVN4189575	185180	Electrical Equipment
INZ.GA	15617	Insurance
IO.GB	23810	Measuring and Control Equipment
IO4117248	23810	Measuring and Control Equipment
IO4365402	23810	Measuring and Control Equipment
IOC.AA	148130	Petroleum and Natural Gas
IOCQ3686686	148130	Petroleum and Natural Gas
IONM.GC	30945	Communication
IP.GL	6104	Business Supplies
IP.GN	6104	Business Supplies
IP.GO	6104	Business Supplies
IP.GP	6104	Business Supplies
IP.GQ	6104	Business Supplies
IP.GR	6104	Business Supplies
IP.GS	6104	Business Supplies
IP.GT	6104	Business Supplies
IP.GU	6104	Business Supplies
IP.GV	6104	Business Supplies
IP.GX	6104	Business Supplies
IP.GY	6104	Business Supplies
IP.HA	6104	Business Supplies
IP.HB	6104	Business Supplies
IP.IC	6104	Business Supplies
IP.IG	6104	Business Supplies
IP.IH	6104	Business Supplies
IP.II	6104	Business Supplies
IP.IJ	6104	Business Supplies
IP.IK	6104	Business Supplies
IP.IL	6104	Business Supplies
IP.IM	6104	Business Supplies
IP.IN	6104	Business Supplies
IP.IO	6104	Business Supplies
IP.IP	6104	Business Supplies
IP.IQ	6104	Business Supplies
IP.IR	6104	Business Supplies
IP.IS	6104	Business Supplies
IP.IT	6104	Business Supplies
IP.IU	6104	Business Supplies
IP4132045	6104	Business Supplies
IP4132174	6104	Business Supplies
IP4247256	6104	Business Supplies
IP4247257	6104	Business Supplies
IP4247258	6104	Business Supplies
IP4390237	6104	Business Supplies
IP4390241	6104	Business Supplies
IPCC.GA	110065	Insurance
IPCC.GB	110065	Insurance
IPCC3902151	110065	Insurance
IPCS.GD	147391	Communication
IPCS.GE	147391	Communication
IPCS.GF	147391	Communication
IPCS.GG	147391	Communication
IPCS.GH	147391	Communication
IPG.GB	6136	Business Services
IPG.GC	6136	Business Services
IPG.GD	6136	Business Services
IPG.GE	6136	Business Services
IPG.GH	6136	Business Services
IPG.GI	6136	Business Services
IPG.GN	6136	Business Services
IPG.GO	6136	Business Services
IPG.GP	6136	Business Services
IPG.GW	6136	Business Services
IPG.GY	6136	Business Services
IPG.HA	6136	Business Services
IPG.HC	6136	Business Services
IPG3826212	6136	Business Services
IPG3926728	6136	Business Services
IPG3926729	6136	Business Services
IPG4113860	6136	Business Services
IPHI4438188	185112	Electrical Equipment
IPS.GB	6180	Steelworks Etc
IPX.GB	28214	Business Services
IPX.GC	28214	Business Services
IPX.GD	28214	Business Services
IPX.GF	28214	Business Services
IPX.GH	28214	Business Services
IPXL.GB	61745	Pharmaceutical Products
IPXL4382747	61745	Pharmaceutical Products
IQW.GO	25291	Business Services
IRC.AB	143689	Trading
IRC.AC	143689	Trading
IRCE.GB	156933	Wholesale
IRCE.GC	156933	Wholesale
IRF.GB	6109	Electrical Equipment
IRM.GD	62374	Business Services
IRM.GF	62374	Business Services
IRM.GG	62374	Business Services
IRN.GC	12277	Business Services
IRT.GA	5851	Trading
IRWD4379002	184256	Pharmaceutical Products
ISCA.GA	6116	Entertainment
ISCA.GB	6116	Entertainment
ISCA.GD	6116	Entertainment
ISCA.GE	6116	Entertainment
ISFI.GB	15142	Trading
ISFI.GC	15142	Trading
ISFI.GD	15142	Trading
ISFI.GE	15142	Trading
ISFI.GI	15142	Trading
ISFI.GJ	15142	Trading
ISFI.GK	15142	Trading
ISFI.GL	15142	Trading
ISFI.GM	15142	Trading
ISFI.GN	15142	Trading
ISFI.GO	15142	Trading
ISFI.GP	15142	Trading
ISFI.GQ	15142	Trading
ISFI.GR	15142	Trading
ISFI.GS	15142	Trading
ISFI.GT	15142	Trading
ISFI.GU	15142	Trading
ISFI.GW	15142	Trading
ISFI.GX	15142	Trading
ISFI.GY	15142	Trading
ISFI.GZ	15142	Trading
ISFI.HA	15142	Trading
ISFI.HB	15142	Trading
ISFI.HC	15142	Trading
ISFI.HF	15142	Trading
ISG.GB	155395	Steelworks Etc
ISH.GA	6115	Transportation
ISH.GB	6115	Transportation
ISLE.GA	25314	Entertainment
ISLE.GD	25314	Entertainment
ISLE.GE	25314	Entertainment
ISLE.GF	25314	Entertainment
ISLE.GG	25314	Entertainment
ISLE.GI	25314	Entertainment
ISLE3915339	25314	Entertainment
ISLE4002873	25314	Entertainment
ISU.GB	177227	Medical Equipment
ISU.GC	177227	Medical Equipment
ITC4024619	163669	Utilities
ITC4024623	163669	Utilities
ITC4130597	163669	Utilities
ITC4379396	163669	Utilities
ITCD.GA	65679	Communication
ITCD.GB	65679	Communication
ITCD.GC	65679	Communication
ITCD.GE	65679	Communication
ITHD.GD	163669	Utilities
ITMN.GA	133246	Pharmaceutical Products
ITMN.GC	133246	Pharmaceutical Products
ITMN.GD	133246	Pharmaceutical Products
ITMN.GE	133246	Pharmaceutical Products
ITMN3956117	133246	Pharmaceutical Products
ITRE.AA	148130	Petroleum and Natural Gas
ITRI.GB	29133	Measuring and Control Equipment
ITRI.GC	29133	Measuring and Control Equipment
ITT.GL	5860	Machinery
ITW.GA	5878	Machinery
ITW.GB	21149	Entertainment
ITW.GC	21149	Entertainment
ITW.GF	21149	Entertainment
ITW.GH	5878	Machinery
ITW.GI	5878	Machinery
ITW.GJ	5878	Machinery
ITW.GL	5878	Machinery
ITW3872538	5878	Machinery
ITW3872541	5878	Machinery
ITW3891943	5878	Machinery
ITW4099086	5878	Machinery
ITW4099087	5878	Machinery
ITW4099090	5878	Machinery
ITW4421828	5878	Machinery
ITWO.GB	62712	Business Services
IVAC.GB	61587	Machinery
IVAC.GC	61587	Machinery
IVC.GB	6158	Medical Equipment
IVC.GD	6158	Medical Equipment
IVC4465135	6158	Medical Equipment
IVGN.GB	118577	Pharmaceutical Products
IVGN.GD	118577	Pharmaceutical Products
IVGN.GF	118577	Pharmaceutical Products
IVGN.GG	118577	Pharmaceutical Products
IVGN.GH	118577	Pharmaceutical Products
IVGN.GI	118577	Pharmaceutical Products
IVGN.GJ	118577	Pharmaceutical Products
IVGN.GL	118577	Pharmaceutical Products
IVX.GB	14446	Pharmaceutical Products
IVX.GD	14446	Pharmaceutical Products
IVX.GF	14446	Pharmaceutical Products
IVX.GI	14446	Pharmaceutical Products
IVX.GJ	14446	Pharmaceutical Products
IVX.GL	14446	Pharmaceutical Products
JAG.AA	28852	Precious Metals
JAG3827204	28852	Precious Metals
JAH.AA	27980	Rubber and Plastic Products
JAH.AB	27980	Rubber and Plastic Products
JAH.AC	27980	Rubber and Plastic Products
JAH.AD	27980	Rubber and Plastic Products
JAH3669875	27980	Rubber and Plastic Products
JAH3686591	27980	Rubber and Plastic Products
JAH4079773	27980	Rubber and Plastic Products
JAH4136133	27980	Rubber and Plastic Products
JAH4223875	27980	Rubber and Plastic Products
JAKK.AA	62745	Recreation
JAKK.GB	62745	Recreation
JASA.GA	4523	Retail
JASA.GC	4523	Retail
JASO.GA	176661	Electrical Equipment
JAVA.GA	12136	Computers
JAX.GA	11538	Restaurants, Hotels, Motels
JAZZ.GC	166303	Electrical Equipment
JBHT.GA	5783	Transportation
JBHT.GB	5783	Transportation
JBHT.GC	5783	Transportation
